Dokuman_Numarasi,Tweet_Metni,Gercek_Duygu_Sinifi,Gercek_Urunhiz_Sinifi
D1,öyle demekle olmaz konumi atıyorum yemek sepetinden sipariş et,2,2
D2,koskoca yemek sepetinde tatli siparis edebilcegim biyer yok memlekette,0,0
D4,2019 yemek sepetinden burç çok sipariş vermiştir bil bakalım tabiki yengeç burcu,2,2
D5,getir yemek kullanmayın pismanliktir callcenterten destek nede sipariş teslimatı ayıptır ayıp yapamıyorsanız yapmayın işi,0,0
D7,yemek sepeti callcentera yazdım hazırlanıyor 50 dakikadır bekliyom yeni mi hazırlanıyor restoranın sipariş süresi 60 dakikadır diyo you arrogant piece of shit 10 dakikada gelebiliuo bekliyorum şu an,0,0
D8,resmen günü pazar gibi yaşadım o yüzden yemek yapmayıp sipariş verdim,1,2
D9,telefonda müzik dinletmek dışında hizmet izmir sipariş 1 dakikatir gelmedi yemek,0,0
D10,yemek sepetinden şuan sipariş vercem yoğunluk iptal oldu 4  kere teşekkürler yemek sepeti istanbulproblems,0,0
D11,ilk defa bugün yemek sepetinden sipariş verdim  dışarıdan yemek olayı kötü bence ya,0,2
D12,2020 kararlarımdan zorunda kalmadıkça etmemek,0,2
D13,yemek sepetinde sipariş verir gibi,2,2
D14,sorgusuz sualsiz ka numarasini verecek birini ariyorum yemek sepetinden sipariş vericem finansal köleler sanal seans dm finansalkole finansalköle finansalkoele finansalezik,2,2
D15,oda arkadaşımla canımız sıkıldığında yemek mi sipariş etsek deyip kendimizi yemeksepetinde siparişi onaylarken buluyoruz an depresyon yatağında kyk'dan bursunu artırma talebine duy bunları,1,2
D17,bulunduğum nokta x konumle yolun karşısı y konumle olarak geçiyor yemeksepeti üzerinden burger king'den sipariş verdim evimin konumi uygun değilmiş yolun karşısını seçtim  yemek geldiğinde gidip alacağım,0,0
D18,2020'nin gününe yemek sepetinden kahvaltı sipariş ederek başladım bit 2020,1,2
D19,hiçbir yer getirmiyor 2020 bok gibi başladı şimdiden,0,0
D20,yemek sipariş banka hesabına bakıyordum yükseldim dusjsksk yıkıklık ayrı bişey,0,2
