Terim,Frekans
abur cubur,24
 acı ,60
 adet,64
tane,528
ağız tadı,5
altın günü yiyecek,1
ana yemek,21
aperatif,2
aşırı yağ,1
çok yağlı,7
 ayran,105
azıcık,4
baharat,13
 bal ,6
bayat,14
besin,56
biber,41
bisküvi,3
 bol ,92
bozuk,37
bozulmuş,3
böcek,15
börek,41
burger,1078
buruk,2
 buz ,78
donmuş,4
büyük boy,22
canım çek,62
canı çek,10
cips,11
çeşni,1
çevirm,11
çıtır,9
 çiğ ,63
pişmemiş,12
çoban,2
 çöp ,17
çörek,1
dağıl,4
damak tadı,3
damak zevk,2
dolma,12
domates,23
double,7
duble,4
doym,44
doyum,1
doyurucu,7
döner,780
dünden kalan,2
dürüm,137
 ekle ,4
ekşim,1
 ekmek ,290
 eksik ,131
 ekşi,6
el yapım,2
ev yapım,4
ev yemeği,17
 erzak,2
eşantiyon,1
 etli,66
 etsiz,5
fast food,65
fastfood,14
futuristik,1
garnitür,2
gevrek,3
gıda,105
gluten,1
gram,102
gurme,6
hafif yemek,2
hamburger,692
hamur,27
haram,15
hastası,14
hatay usul,11
havyar,2
hazır yemek,57
helal,158
 hoş ,47
 ısıt,25
ıspanak,11
iade,87
içecek,67
 içki ,9
içli köfte,17
ikram,32
kadınbudu,3
kalın hamur,2
karbonhidrat,5
karışık,28
kaşarlı,27
katık,8
kavurma,13
kayış,4
köpek yem,3
kestane,4
ketçap,56
 kıl ,5
kıtır,2
kıyma,41
kızarmış,34
kızartm,23
kilo ,118
kişi başı,9
klasik,16
kokan,4
kokm,2
koku,45
konserve,2
köfte,271
kömür,6
kurt,56
 kuru ,20
kusm,6
kuşbaşı,16
küçük,148
küflü,4
lahmacun,1222
lastik,14
latif,1
latte,4
leziz,4
lezzetli,25
nefis,5
lezzetsiz,5
lokma,37
lokum,3
lüfer,1
makarna,108
martı eti,3
marul,9
 maya,9
mayonez,62
meşrubat,3
meyve,20
meze ,6
mide,92
minik,8
 mis ,23
nane,10
organik,3
orta boy,10
öğün,41
ölçü,4
patates,114
patlıcan,13
peynir,69
pide,497
pilav,89
pişmiş,14
pizza,672
poğaça,6
porsiyon,110
pörsüm,1
reçel,1
 saç ,4
sağlıklı,66
sağlıksız,23
salata,103
salça,12
saman,3
sarımsak,7
sası,40
sebze,42
sıcacık,6
sinek,4
soğan,66
soğuk,66
soğumuş,4
son kullanma tarih,2
 sos ,28
sucuk,19
sufle,20
sulu,10
şalgam,12
şeker,29
şerbet,1
taraftar,7
taş ,33
tatlı,225
tatsız,1
tavuk,264
taze,13
tereyağ,14
turşu,44
tuzlu,7
tuzsuz,1
ufak,52
urfa,14
ürün,303
vegan,44
vejetaryan,5
vejeteryan,11
vıcık,6
yağı don,1
yağlı,31
yağsız,2
yanık,4
yanmış,5
yapışmış,1
yarım,115
yemiş,95
yeşillik,7
yöresel,5
yudum,11
yumurta,44
zehir,17
zevkli,2
₺,51
lira,383
nakit,32
 para ,258
 tl,495
3d secure,2
abone,2
acele,121
acemi,4
toy,13
 açık ,158
 açıl,81
adalet,4
 adam,569
adisyon,3
 adi ,5
adres,606
ikamet,5
ahlaksız,5
ak pak,2
 aksi ,2
aktarm,1
alakalı,7
alakasız,4
 alan ,52
bölge,82
civar,14
 etraf,10
konum,52
mahal,116
mevki,29
muhit,3
semt,34
sokak,440
alçal,7
 algı,11
alış veriş,7
alışveriş,186
alt limit,8
alt sınır,2
altyap,9
anasayfa,1
ana sayfa,3
anında,131
anlamsız,4
anlaşılm,9
anlayış,19
aplikasyon,12
 app,14
mobil uygulama,6
aracı,62
 asıl ,21
asistan,7
aşağı,26
 ayı ,12
 azarla,1
bağlantı,10
bahşiş,51
bakım,11
basit,31
başlıca,4
bayağı,5
 baz ,1
beceriksiz,9
bedel,74
beklet,56
belgeli,1
bencil,6
beyhude,1
beyinsiz,1
bıçak,12
bildiri,45
bilet,11
bilgisiz,2
 anda ,328
blokl,2
boş yere,11
boşuna,27
bölüm,64
buton,15
cahil,9
callcenter,1
call center,3
canlı destek,31
canlı yardım,104
cevap,114
crash,1
cüzdan,49
çaba,23
ivedi,2
çağrı,57
çakal,6
çalışan,299
çalışm,153
çatal,15
çelişki,1
çevre,41
çıkış,18
çiçek,52
çirkin,2
çökmüş,14
çöktü,28
dağ baş,3
dağbaş,1
dağın baş,4
dağınık,2
dağıtıcı,2
dağıtım ağı,2
dakika,457
dk,601
saat,2159
dalga,47
dalgın,4
danışma,3
davranış,18
davranm,5
debit,1
setcard,1
sodexo,14
multinet,3
değerli,60
değersiz,1
deney,37
denk,48
dert,18
destek,533
devre,3
dezenfekte,8
dış kapı,5
dışardan sipariş,93
dışarıdan sipariş,535
