Terim,Frekans
sipariş,14120.0
yemek,13473.0
yorum,4711.0
saat,2159.0
yok,1840.0
retoran,1436.0
lahmacun,1222.0
kurye,1148.0
burger,1078.0
tane,966.0
isti,912.0
güven,895.0
arkadaş,847.0
gelm,846.0
iste,821.0
telefon,816.0
zaman,812.0
hasta,805.0
döner,780.0
öner,776.0
firma,772.0
hamburger,692.0
adres,606.0
dk,600.0
servis,575.0
şimdi,570.0
adam,569.0
online,548.0
iptal,540.0
dışarıdan sipariş,535.0
destek,533.0
pizza,528.0
uygula,528.0
pide,497.0
tl,495.0
yemek yok,475.0
güzel,465.0
dakika,457.0
sev,450.0
sokak,440.0
kara kara düşün,432.0
zorunda kal,431.0
paket,412.0
kampanya,401.0
hizmet,396.0
lira,383.0
nöbet,380.0
istem,372.0
müşteri,368.0
verem,358.0
iyi,357.0
çıkar,355.0
getirm,343.0
anda,328.0
paket servis,323.0
ürün,303.0
çalışan,299.0
süre,294.0
gerçekten,291.0
platform,291.0
açık,277.0
menü,276.0
kalm,275.0
hazır,271.0
köfte,271.0
merkez,270.0
ekmek,256.0
yollam,253.0
ederi,246.0
online sipariş,244.0
taciz,242.0
sürekli,239.0
para,234.0
yardım,233.0
indirim,232.0
reklam,229.0
puan,226.0
tatlı,223.0
gönderm,222.0
numara,221.0
virüs,221.0
yasak,220.0
özel,209.0
komisyon,203.0
esnaf,202.0
yanlış,198.0
teslim,197.0
sorun,196.0
yeni,196.0
sistem,195.0
kardeşim,195.0
şube,194.0
teşekkür,191.0
kazan,188.0
alışveriş,186.0
ileti,179.0
fazla,175.0
büyük,173.0
mekan,172.0
ödeme,169.0
gönderi,166.0
önem,163.0
amk,160.0
hediye,160.0
toplu,160.0
fiyat,159.0
tavuk,158.0
getiren,157.0
kral,157.0
mesaj,156.0
çalışm,153.0
dükkan,150.0
kapalı,149.0
karşılı,149.0
doğru,148.0
icra,148.0
dönem,147.0
kötü,146.0
küçük,146.0
diyet,146.0
zam,145.0
sipariş not,144.0
pizza sipariş,144.0
dikkat,142.0
işbirli,140.0
joker,139.0
ters,138.0
işletme,138.0
artı,137.0
dürüm,137.0
sağlık,137.0
mutlu,136.0
yerlerde,136.0
hak etmiyor,133.0
keşke,133.0
şikayet,133.0
kazanç,133.0
anında,131.0
teslimat,130.0
boş,129.0
bilme,124.0
aq,122.0
acele,121.0
ilgili,121.0
tarih,120.0
son sipariş,119.0
mahal,116.0
yakın,115.0
cevap,114.0
helal,114.0
patates,114.0
yarım,114.0
mezun,113.0
talep,110.0
porsiyon,110.0
üşen,110.0
makarna,108.0
bilinçsiz,107.0
gelir,106.0
mücadele,106.0
israf,106.0
ayran,105.0
yemiyo,105.0
tavuk döner,104.0
canlı yardım,104.0
salata,103.0
gram,102.0
şirket,102.0
rezil,102.0
uzak,99.0
boykot,98.0
uyar,98.0
motor,97.0
satış,97.0
tutar,96.0
yemiş,95.0
eksik,94.0
dışardan sipariş,93.0
temassız teslim,92.0
bol,92.0
gıda,89.0
online öde,89.0
pilav,89.0
sipariş iptal,88.0
iade,87.0
önemli,87.0
yavşak,87.0
mide,86.0
uğraş,86.0
kebap,85.0
ücret,85.0
yoğunluk,85.0
düğüm,84.0
kabul,84.0
hızlı,83.0
açıl,81.0
açım,81.0
göm,81.0
dandik,81.0
acil,80.0
temiz,80.0
onay,80.0
görev,79.0
izin,79.0
bölge,77.0
suç,76.0
ulaşm,76.0
sevin,75.0
canlı,75.0
risk,75.0
bedel,74.0
rahat,74.0
usta,74.0
özür,72.0
üzül,72.0
taşı,71.0
temas,70.0
hesap,70.0
köle,69.0
peynir,69.0
vazgeç,69.0
yalan,68.0
içecek,67.0
kaldım,67.0
poşet,67.0
ulaşam,67.0
etli,66.0
soğan,66.0
ayıp,65.0
bat,65.0
fast food,65.0
sıkıntı,65.0
öneri,65.0
adet,64.0
bölüm,64.0
sağlıklı,64.0
yavaş,64.0
abuk,63.0
soğuk,63.0
burada,63.0
dolu,63.0
zorla,63.0
aracı,62.0
kilo,62.0
kola,62.0
mayonez,62.0
canım çek,62.0
rica,62.0
et döner,61.0
mesafe,61.0
takip,61.0
salak,61.0
keyf,60.0
değerli,60.0
geç gelen,59.0
pahalı,59.0
üzgün,59.0
şaka,58.0
çiğ köfte,58.0
müşteri hizmet,58.0
acı,57.0
hazır yemek,57.0
çağrı,57.0
ucuz,57.0
besin,56.0
görüş,56.0
ketçap,56.0
kilo al,56.0
kurt,56.0
eleman,55.0
ulan,55.0
kupon,54.0
malzeme,54.0
beğen,53.0
sıkıl,53.0
utan,53.0
konum,52.0
buz gibi,52.0
çiçek,52.0
ufak,52.0
bahşiş,51.0
mail,51.0
mutfak,51.0
₺,51.0
afiyet,50.0
ciddi,50.0
rezalet,50.0
sorm,49.0
cüzdan,49.0
inşallah,49.0
kanka,49.0
kardeşlerim,49.0
yerinde,49.0
beklet,48.0
denk,48.0
unutmuş,48.0
mağdur,47.0
kebapçı,47.0
ödül,47.0
bayram,46.0
çok iyi,46.0
uydur,46.0
hayvan,45.0
leke,45.0
karış,45.0
efendi,44.0
fena,44.0
koku,44.0
