Terim,Frekans
10 puan,3
number one,1
10/10,24
6/10,1
8/10,1
acar,4
acele,121
acil,80
adalet,4
aferin,7
afiyet,50
ağzımın su,1
azımın su,1
ak pak,2
aksiyon,9
ekşın,1
alakalı,7
 alfa,7
anında,131
anlamlı,6
aralıksız,2
durmadan,10
arkadaş,847
armağan,2
ödül,47
 artı,137
arzu,12
 asıl ,21
asko,20
aşko,11
aşkito,1
 aşık,16
aşer,20
 aşkın,39
avantajlı,4
bağımlı,18
bahşiş,51
başarılı,8
başlıca,4
bayıl,37
bayram,46
 baz ,1
bebeğim,11
beğeni,7
beğend,19
beklenti,11
beyefendi,12
bilerek,13
bilgili,5
bilinçli,4
boğazımdan geçm,2
 bol ,92
bravo,12
buruk,2
canım çek,62
canı çek,10
cansın,1
centilmen,1
ciddi,55
ivedi,2
çabuk,31
çare,12
çekiliş,8
çeşni,1
çık aklı,24
çık hayat,2
çılgın,12
çok iyi,46
çözüm,41
daima,6
dayanışma,6
değerli,60
demlenmiş,1
dengeli,9
derle,36
derman,3
destek,533
devamlı,12
dikkatli,6
dilek,6
doğal,21
doğru,150
dolu,63
doyam,3
dua,24
duyarlı,14
dürüst,7
düşünceli,7
düzelt,32
düzenli,22
efendi,44
 eğitim,20
eksiksiz,8
ekstra,21
ev yemeği,17
eline sağlık,3
ellerinize sağlık,4
 elit,3
 esas ,2
 esen ,1
 eşit,2
 etkili,8
faydalı,3
fazilet,1
gayet,34
gerçek ,349
gerekli,41
 göm,81
gönül,20
gönlü,11
görev,79
görgülü,3
gurur,6
güven,900
güzel,465
hakikaten ,2
hakkaten,2
hakkıyla,3
halis,3
hapır hupur,1
hapur hupur,1
hasret kal,4
hassas,25
hasta ol,23
hastası,14
havalı,3
hayati,17
hayır ol,1
hayırlısı,7
hayran,21
hediye,160
helal,158
hemen,12
heves,12
hızla,7
hızlı,85
hijyen,32
 hoş ,47
hukuk,5
huzur,14
içim,64
ikram,32
ilave,4
 ilgili,121
iltifat,3
incelik,4
indirim,232
insan sev,2
insani,12
inşallah,49
inş ,14
 istiyor,604
 ister,195
 istey,171
 istemiş,39
 isted,352
